Wavelength (μm),Warm White 2200K,Warm White 3000K,Neutral White 4000K ,Cool White 5500K,Cool White 6500K,UVA (365 nm),Violet (385 nm),Violet (395 nm),Violet (405 nm),Deep Blue (436 nm),Royal Blue (453 nm),Dental Blue (460 nm),Cyan (500 nm),PC Lime,Green (517 nm),Amber (593 nm),PC Amber,Red (633 nm),Deep Red (660 nm),Far Red (740 nm),Infra Red (850 nm),Deep Infra Red (940 nm)
0.52,0.002709031,0.004884571,0.008720531,0.011981342,0.012861479,0.000136651,0.000141129,0.000143564,0.000206796,0.00019669,0.000211339,0.000910807,0.028990103,0.02154138,0.029919601,2.99E-05,0.000134182,4.94E-05,6.83E-05,2.13E-05,0,0
0.521,0.002828721,0.004923959,0.008957908,0.01229339,0.013149383,0.000134714,0.000119407,0.000107524,0.000197501,0.000168495,0.000229536,0.000839864,0.026867234,0.022006993,0.029733539,3.06E-05,0.000138825,5.08E-05,8.76E-05,4.32E-05,0,0
0.522,0.002954231,0.005033258,0.009144842,0.012580035,0.013370046,0.000143674,0.000131552,0.000135588,0.000188399,0.000159673,0.000230886,0.000796293,0.024862681,0.022397249,0.02950319,8.84E-06,0.000158325,2.40E-05,4.97E-05,2.07E-05,0,0
0.523,0.003028633,0.005066403,0.009300463,0.012792004,0.0136321,0.000134221,0.000114846,0.000128013,0.000195654,0.000148763,0.000224505,0.000720744,0.023938632,0.022767398,0.029217604,1.80E-05,0.000171093,3.78E-05,4.91E-05,4.01E-05,0,0
0.524,0.003150187,0.005125496,0.009432334,0.012906763,0.013928485,0.000127051,0.000143847,0.000126933,0.000168296,0.000172838,0.000213222,0.000654134,0.022676583,0.02314602,0.0286578,3.60E-05,0.000184326,5.01E-05,5.61E-05,3.71E-05,0,0
0.525,0.00321603,0.0052833,0.009626716,0.013022464,0.014073252,0.000141669,0.000121142,0.000141129,0.000180515,0.000159077,0.000222227,0.000653601,0.020802033,0.023459983,0.028003856,3.52E-05,0.000209862,7.17E-05,6.32E-05,4.14E-05,0,0
0.526,0.003363409,0.005340308,0.009820043,0.01314413,0.014390842,0.00014871,0.000137736,0.000119407,0.000208574,0.000164023,0.000190363,0.000577137,0.019296777,0.023710759,0.027463292,2.24E-05,0.000240826,5.56E-05,7.17E-05,7.16E-06,0,0
0.527,0.003318176,0.005384516,0.009985718,0.013472567,0.014445733,0.000161213,0.00018089,0.000131552,0.000172854,0.000137557,0.000165439,0.000535471,0.017940039,0.023951706,0.026678022,3.53E-05,0.000259879,3.18E-05,7.04E-05,3.08E-05,0,0
0.528,0.003489338,0.005512123,0.010097123,0.01365024,0.014548559,0.000161653,0.000167335,0.000114846,0.000151142,0.000143537,0.000163822,0.000514287,0.016936518,0.024195236,0.0259514,3.09E-05,0.000306046,1.97E-05,7.17E-05,5.71E-05,0,0
0.529,0.003610529,0.005559284,0.010247441,0.013742748,0.014708663,0.000152317,9.45E-05,0.000143847,0.000205993,0.000161272,0.000178463,0.000461984,0.015897458,0.024434154,0.025236094,2.56E-05,0.000333523,3.42E-05,8.55E-05,5.85E-05,0,0
0.53,0.003691441,0.005621902,0.010361402,0.013856034,0.014843226,0.000143306,0.000154192,0.000121142,0.000191756,0.000152986,0.000160384,0.000441458,0.014861579,0.024556785,0.024366193,3.35E-05,0.000390627,4.56E-05,4.57E-05,5.69E-05,0,0
